fps_value,total_trips_mean,total_trips_std,total_trips_ci95_halfwidth,avg_trip_time_mean,avg_trip_time_std,avg_trip_time_ci95_halfwidth,total_system_travel_time_mean,total_system_travel_time_std,total_system_travel_time_ci95_halfwidth,total_subsidy_used_mean,total_subsidy_used_std,total_subsidy_used_ci95_halfwidth,percentage_used_mean,percentage_used_std,percentage_used_ci95_halfwidth,low_trip_count_mean,low_trip_count_std,low_trip_count_ci95_halfwidth,middle_trip_count_mean,middle_trip_count_std,middle_trip_count_ci95_halfwidth,high_trip_count_mean,high_trip_count_std,high_trip_count_ci95_halfwidth,n
3500.0,377.3666666666667,10.691547848758798,3.991841316578516,20.796072849534102,1.4936521988706362,0.5576762732949228,7839.5,480.69954412724167,179.47600555614093,3233.1343414439757,374.6269361487428,139.87229007214168,92.3752668983993,10.703626747106938,3.996351144918334,157.5,13.19025240928655,4.924768170925035,116.96666666666667,16.059122089916702,5.995901432920243,102.9,14.835535158809602,5.539057864981118,30
4500.0,380.43333333333334,11.230142116376934,4.192933139835896,20.30259899319869,1.446975485459821,0.5402488590653716,7716.633333333333,484.9870587205774,181.07681005528536,3678.482069566596,569.6988160093558,212.70514839589092,81.74404599036883,12.659973689096796,4.726781075464243,160.16666666666666,14.614785459355486,5.456637827829479,122.83333333333333,16.220641029327382,6.056206824138629,97.43333333333334,15.192292359168079,5.672258235266435,30
5500.0,384.76666666666665,14.070471240137632,5.253410379361646,19.782699707602447,1.222310546949015,0.45636701177624206,7604.833333333333,434.93400873468494,162.38879258757595,4180.309980999155,902.3115321597168,336.8908324081972,76.00563601816648,16.405664221085758,6.12528786196722,159.53333333333333,15.404283625764249,5.751408187052943,124.66666666666667,19.081193726362837,7.124234822124147,100.56666666666666,15.462264038471284,5.773055998040674,30
6500.0,384.23333333333335,13.897862235345539,5.188964354642917,19.64176245636872,1.114857360137869,0.4162478375670036,7542.5,436.7159378186553,163.0541011323468,4518.476555330906,1197.264753597188,447.0158089267952,69.51502392816779,18.419457747649044,6.877166291181464,163.43333333333334,16.00147263337914,5.974377189121282,117.63333333333334,14.242925245195588,5.317798532727083,103.16666666666667,15.012829762282138,5.605253324549701,30
7000.0,385.53333333333336,14.52876655023627,5.42452144577831,19.64519478338321,0.9388007186102078,0.35051458868202023,7566.933333333333,323.08917668649013,120.62993522366301,4860.806922531431,1375.8246912092397,513.683698976805,69.44009889330617,19.654638445846285,7.338338556811501,163.56666666666666,16.196388131486202,6.047151660095152,119.33333333333333,14.709446491692134,5.491980869388731,102.63333333333334,16.77741366228425,6.264085798410389,30
7500.0,380.6666666666667,13.191777306555288,4.925337512989159,19.684456184549592,1.260835315507154,0.47075078155564376,7483.233333333334,376.94083349250315,140.7362165259915,4395.6521853487875,1465.8018647609056,547.2779553008968,58.6086958046505,19.544024863478736,7.297039404011955,159.4,14.41407358248803,5.381699196478683,121.9,16.22545892236578,6.0580056529669335,99.36666666666666,12.562899218795366,4.690536942545807,30
8000.0,385.6,14.71475918698755,5.493964439670848,19.591115667434845,1.0129314670873162,0.3781923570263077,7545.566666666667,316.51438746329427,118.17514423921305,5009.031191540276,1577.9953407066985,589.1669838182193,62.61288989425347,19.72494175883373,7.364587297727739,164.0,15.754583350622894,5.8821975670994595,121.73333333333333,16.506912519291433,6.163090352843938,99.86666666666666,14.942956669380678,5.579165212416006,30
8500.0,383.0,14.08104619937615,5.257358690663863,19.606541728252253,1.2214782978716738,0.45605627975693014,7499.766666666666,380.95267905366006,142.234096074706,4827.03962507636,1742.1325587442477,650.4499465677719,56.78870147148657,20.49567716169703,7.652352312562021,162.2,15.689662751040233,5.85795853872143,121.73333333333333,16.90324052452325,6.311065045431147,99.06666666666666,13.242911788714675,4.944429298526029,30
9000.0,386.96666666666664,17.42863939796701,6.50723018076654,19.597985318484422,1.1471161263229086,0.4282921063203102,7570.066666666667,315.810608165535,117.91237823766781,5260.957467801968,1788.2450375838903,667.666695802384,58.45508297557743,19.869389306487673,7.418518842248713,163.66666666666666,16.065240552913874,5.998185848023796,126.26666666666667,18.466994478189225,6.894914805027136,97.03333333333333,15.385804772768537,5.744508844701889,30
9500.0,384.1333333333333,14.68692435898125,5.48357191110088,19.575280587432296,1.2186700784363922,0.45500779112587775,7509.866666666667,386.09296123167496,144.15329346944563,4842.936914995059,1727.2076153006283,644.8775068491623,50.97828331573745,18.18113279263819,6.78818428262276,164.43333333333334,17.91490100896233,6.68878286302503,120.3,17.12258037273266,6.392958694586541,99.4,13.07959716768699,4.883453464059238,30
10000.0,386.43333333333334,17.131707512645974,6.396366441970134,19.581234442365886,1.1465817793780493,0.42809260029535934,7552.966666666666,303.7046527334642,113.39244775108176,5263.884164635787,1792.1775306571008,669.1349479721223,52.63884164635788,17.921775306571007,6.6913494797212225,163.36666666666667,16.142647164305625,6.027086706337384,125.53333333333333,18.380524425622887,6.862629982159219,97.53333333333333,15.75837671784785,5.88361387465677,30
15000.0,388.3,16.38154975616755,6.1162843838226735,19.38742760363258,1.1116250817079179,0.4150410204843992,7515.7,305.3460614473016,114.00529101886445,5391.724432476765,1834.0479412374061,684.7678607421823,35.94482954984512,12.226986274916042,4.565119071614549,166.83333333333334,17.029555106532783,6.358226389558744,123.23333333333333,19.33316488234185,7.218311833727275,98.23333333333333,16.575185718693938,6.188581122005258,30
