fps_value,total_system_travel_time,avg_trip_time,total_trips,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,low_trip_count,low_avg_trip_time,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,middle_trip_count,middle_avg_trip_time,high_amount,high_percentage_of_used,high_percentage_of_total_fps,high_trip_count,high_avg_trip_time
3500.0,7299.0,18.572519083969464,393,73.93877170404654,2587.8570096416292,867.1958937296434,33.510193588699636,24.77702553513267,139,25.87769784172662,493.3425432208487,19.06374816625466,14.095501234881391,137,17.824817518248175,1227.3185726911363,47.426058245045674,35.06624493403246,117,10.76923076923077
4500.0,7542.0,20.165775401069517,374,67.16098611428275,3022.2443751427236,1551.74169384702,51.344017929514386,34.483148752156,146,27.938356164383563,935.8592478422353,30.965704015845507,20.796872174271893,140,14.928571428571429,534.6434334534678,17.69027805464009,11.880965187854839,88,15.602272727272727
5500.0,7512.0,20.63736263736264,364,61.410601428576406,3377.583078571702,2010.5663649156834,59.526777525362995,36.55575208937606,156,27.576923076923077,745.4292998250074,22.069902722873405,13.553259996818317,106,16.735849056603772,621.5874138310122,18.403319751763632,11.30158934238204,102,14.07843137254902
6500.0,7437.0,19.519685039370078,381,96.01421447884123,6240.923941124679,2110.394582591278,33.81541903891498,32.467608962942734,153,27.516339869281047,988.6116338201379,15.8407896514435,15.209409751079045,131,16.3206106870229,3141.9177247132598,50.34379130964146,48.33719576481938,97,11.22680412371134
7000.0,7678.0,19.536895674300254,393,100.0,7000.0,2661.3242288114334,38.01891755444905,38.01891755444905,157,26.006369426751593,2512.5055941250594,35.89293705892942,35.89293705892942,138,15.73913043478261,1826.1701770635052,26.088145386621502,26.088145386621502,98,14.520408163265307
7500.0,8084.0,22.208791208791208,364,46.43358050934901,3482.5185382011755,1853.7112352499366,53.22904142263184,24.71614980333249,140,31.071428571428573,930.4890437808089,26.718854001030934,12.406520583744118,106,20.20754716981132,698.3182591704317,20.05210457633727,9.310910122272423,118,13.491525423728813
8000.0,7560.0,18.9,400,41.64705767220796,3331.764613776637,1810.76707609243,54.34858959138417,22.634588451155373,176,23.835227272727273,943.1824364397071,28.30879566160548,11.78978045549634,116,16.603448275862068,577.8151012445016,17.342614747010415,7.222688765556271,108,13.324074074074074
8500.0,8073.0,21.30079155672823,379,27.10969058184862,2304.323699457133,985.8520203834191,42.78270542526956,11.598259063334343,160,31.3,441.13942452702855,19.14398678583894,5.189875582670924,130,15.384615384615385,877.3322545466845,38.073307788891455,10.321555935843346,89,11.96629213483146
9000.0,7978.0,20.561855670103093,388,29.578929256175314,2662.103633055778,862.5457252749359,32.40090710836963,9.583841391943732,136,27.625,428.1147942897657,16.0818229979402,4.756831047664063,132,19.575757575757574,1371.443113491078,51.51726989369022,15.238256816567533,120,13.641666666666667
9500.0,7193.0,17.84863523573201,403,55.86354351731933,5307.036634145336,2517.4766659035317,47.43657976103183,26.49975437793191,194,20.22680412371134,812.448882528111,15.308899081284569,8.552093500295905,116,19.370689655172413,1977.111085713694,37.2545211576836,20.811695639091514,93,10.989247311827956
10000.0,7149.0,18.862796833773086,379,36.76956759297551,3676.956759297551,2139.0099319349542,58.17337738678201,21.39009931934954,154,22.88961038961039,855.5966714143733,23.269152383990157,8.555966714143732,107,17.42056074766355,682.3501559482253,18.55747022922788,6.823501559482254,118,14.915254237288135
15000.0,7215.0,19.18882978723404,376,35.69475812192629,5354.213718288944,2012.8917492793767,37.59453498099513,13.419278328529177,166,23.234939759036145,966.1696387785134,18.04503311995686,6.44113092519009,113,16.02654867256637,2375.1523302310593,44.36043189904812,15.834348868207062,97,15.948453608247423
