fps_value,n,l2dist_mean,l2dist_std,l2dist_ci95_halfwidth
3500.0,30,0.6277771481838011,0.2321812123273012,0.08669788952294967
4500.0,30,0.6817013313370685,0.10076415917834167,0.037625955402462795
5500.0,30,0.6766699041849785,0.08850203508654537,0.03304720301689672
6500.0,30,0.6941782989015601,0.10347723182790057,0.038639033379278646
7000.0,30,0.6958700341845205,0.09375644112535299,0.0350092304768063
7500.0,30,0.7274274168548397,0.09288015843487064,0.03468202114264529
8000.0,30,0.7054401232067246,0.10162141094258868,0.037946058471979335
8500.0,30,0.7190687387101895,0.10156844369161692,0.037926280175419276
9000.0,30,0.7118664688248237,0.10577350081968964,0.03949647431246003
9500.0,30,0.7284963382065676,0.0846673182921943,0.03161529623315668
10000.0,30,0.7229763158003251,0.10073137025760968,0.03761371181824379
15000.0,30,0.7135968642213377,0.08525340535973609,0.03183414474085135
