fps,mean_equity,std_equity,min_equity,max_equity,count,mean_low,mean_middle,mean_high,mode_share_diffs
1000.0,0.9147687995409374,0.05000103280738937,0.8515237324703344,0.9943884577268107,7,0.4318381514278542,0.19032618454371586,0.2926044635693673,
1500.0,0.6916892936643498,0.05300549277774522,0.5688311688311689,0.7357736112824308,7,0.31257388095922906,0.15932900921939036,0.2197864034857304,
2000.0,0.4992667878345306,0.061619421402768854,0.40370928998379974,0.5853564762450021,7,0.23908863618126192,0.09498177051872589,0.16519638113454288,
2500.0,0.36782208761738333,0.08480680501084215,0.2287379287379287,0.4822041553748871,7,0.16305925098370272,0.07884287225874724,0.12591996437493333,
3000.0,0.32527672928686313,0.04324550412369761,0.265015015015015,0.3929222182253351,7,0.1414470740900205,0.0975629083403332,0.08626674685650945,
3500.0,0.3137538036557021,0.05207956026156383,0.24520542680348972,0.38474985757068914,7,0.12100656907555177,0.08915732165888625,0.10358991292126407,
4000.0,0.3077969536837407,0.025542459645923565,0.26780698975820927,0.337461482024945,7,0.13225493014856496,0.06964062936813939,0.10590139416703637,
4500.0,0.3328401843227087,0.038395675085474014,0.28817138547463267,0.3959535983286602,7,0.15045005462848496,0.07348764786496653,0.10890248182925721,
5000.0,0.33016317539832013,0.039831510757501756,0.265263157894737,0.38626272620116403,7,0.13417943857085488,0.08230683174963867,0.11367690507782664,
6000.0,0.3286509029592342,0.04810179991881598,0.2758138188957629,0.40880796763149707,7,0.14861941634131867,0.07565272883079717,0.1043787577871184,
7000.0,0.33797563953580895,0.038939657181907915,0.2866101326375299,0.41029568354057183,7,0.13405738581185347,0.07758304000936579,0.12633521371458972,
8000.0,0.3344442862894747,0.049025221908335546,0.27858330562021955,0.4067868169475134,7,0.1473449023893302,0.07411036001813882,0.11298902388200567,
