fps,mean_equity,std_equity,min_equity,max_equity,count,mean_low,mean_middle,mean_high
1000.0,0.9177612333392995,0.04335029856633492,0.8531622393008532,0.9960956863019531,10,0.4314863878766645,0.18825282412860583,0.2980220213340291
1500.0,0.6991803171144317,0.06684423134432337,0.5688311688311689,0.8142413468017295,10,0.3065850031830767,0.1404941190111898,0.2521011949201652
2000.0,0.45604370017949486,0.15749085102263774,0.0,0.5853564762450021,10,0.200891774621713,0.09740931658231429,0.15774260897546757
2500.0,0.32781026722783213,0.12233007349074237,0.0,0.46040129666890234,10,0.13389363840744353,0.07498411370273364,0.11893251511765499
3000.0,0.2800689981562024,0.10708621936940386,0.0,0.3956409965059796,10,0.1203101619269791,0.0763922257540368,0.0833666104751865
3500.0,0.27399038350960236,0.11379113813685932,0.0,0.38787100298611027,10,0.10939693570606805,0.06782058155127094,0.09677286625226338
4000.0,0.29161602932848574,0.1074150214836341,0.0,0.41620024875621886,10,0.12967748955917405,0.07489130727593556,0.08704723249337612
4500.0,0.3098452025852795,0.11271979203233749,0.0,0.40994825371887433,10,0.13643584205731055,0.0789868316296173,0.09442252889835163
5000.0,0.2909631593519472,0.1071465069053673,0.0,0.38626272620116403,10,0.12231674062724922,0.07155405258246911,0.09709236614222887
6000.0,0.30939238607484565,0.11638061124359168,0.0,0.43866216487575715,10,0.1282887450094356,0.0811414883415233,0.09996215272388677
7000.0,0.29635342124071895,0.11100841653937327,0.0,0.41029568354057183,10,0.12433243698000969,0.06660632628584673,0.10541465797486256
8000.0,0.30394228105489746,0.11664859081072446,0.0,0.41368230756281604,10,0.12951205000188826,0.07125701026761547,0.1031732207853937
