fps,mean_equity,std_equity,min_equity,max_equity,count,mean_low_dev,mean_middle_dev,mean_high_dev,mean_low_time,mean_middle_time,mean_high_time,mean_overall_time
1000.0,20.793222726389633,1.1363439250565452,19.95729843419608,22.741244821181958,4,9.182962554027233,4.324985345667798,7.285274826694602,30.229629465454206,16.721681565759177,13.761392084732373,21.046666911426975
1500.0,14.89982727422963,1.1260817172806847,13.49809121695914,16.378136900065186,4,6.505521444571125,1.814387392390005,6.579918437268499,25.086585006703338,16.792994505494505,12.001145124863713,18.581063562132215
2000.0,5.951671311792079,0.7031457855204885,4.814739352746772,6.715517721721488,4,2.2381290444763904,0.5231939926756008,3.190348274640088,18.19317695405865,15.431853916906661,12.764699634942172,15.955047909582262
2500.0,4.829617753845042,1.201534319967389,3.419210442958839,6.717489577882368,4,1.9050142157721432,1.4123291297529277,1.5122744083199717,17.97895702793118,14.877173913043478,14.561668403839064,16.07394281215904
3000.0,3.357431402895168,1.2458674602180504,1.563305443610762,5.085909165357233,4,1.1332212238551165,0.4032221267567504,1.820988052283301,17.250181266299002,16.38107370412159,14.295971990160586,16.116960042443885
3500.0,3.44330768205388,1.6080999944888605,0.8372353974353395,5.2149559306901505,4,1.2242793061730417,0.7654320790380313,1.453596296842807,17.40824629753573,15.708106874680801,14.730370694519884,16.183966991362688
4000.0,2.587513902524161,0.7953536260367061,1.692093824966534,3.566742040327581,4,0.8915611883130303,0.43464425357848535,1.2613084606326455,16.968978475228475,15.917655247706804,14.816108826282798,16.077417286915445
4500.0,2.846910151703627,1.1185138308549742,1.2555617063030802,4.223930836830883,4,1.0024555591612931,0.985980857979575,0.8584737345627587,15.794053167306444,14.757861895878925,14.206332070707072,15.064805805269831
5000.0,3.5123726006218723,0.9669360168644875,2.3349639414343475,5.016770517139234,4,1.3674381542632772,0.7155343474096445,1.4294000989489506,17.663416476482666,15.580443974809747,14.86657822327044,16.29597832221939
6000.0,2.913446118319352,1.2935867112472577,0.8637539527877394,4.302448682010736,4,0.8534652377495457,0.36984255284554823,1.690138327724258,16.485216391322567,15.871697626418989,14.278599291293725,15.712178854604572
7000.0,3.887187079630195,0.23585794326705756,3.544707585267357,4.120050658561295,4,1.2702603470642764,0.6594418096396755,1.957484922926243,17.196751603867355,15.793433622828784,13.969006333876834,15.926491256803079
8000.0,3.440530484539234,0.5719488561763084,2.7666655667062727,4.3475949035228165,4,0.9913635015848477,0.6046451627754963,1.84452182017889,16.155221971029963,15.025364201422946,13.319336649266226,15.163858469445117
