fps_value,avg_equity,equity_low,equity_middle,equity_high,total_subsidy_used,budget_used_pct,terminated_early,termination_reason,trip_records_total,trip_records_finished,trip_records_expired,trip_records_service_selected,trip_records_low,trip_records_middle,trip_records_high
300.0,1.4181486548107616,0.6289475838039449,0.26356589147286835,0.5256351795339482,300.0,100.0,False,,116.0,42.0,0.0,74.0,43.0,39.0,34.0
600.0,1.2476060191518468,0.5701123621780257,0.2325581395348837,0.4449355174389373,600.0,100.0,False,,116.0,47.0,0.0,69.0,43.0,39.0,34.0
900.0,0.891016871865025,0.4011598676441357,0.15503875968992245,0.33481824453096676,900.0,100.0,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
1200.0,0.7204742362061103,0.3594186631122336,0.12403100775193787,0.23702456534193878,1200.0,100.0,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
1500.0,0.6011668829726285,0.30058344148631433,0.14425853823938645,0.15632490324692788,1500.0,100.0,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
1800.0,0.4151203713447216,0.20756018567236084,0.09774691033240963,0.1098132753399511,1800.0,100.0,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
2000.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,1873.6126697559635,93.68063348779818,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
2300.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,1873.6126697559635,81.46142042417233,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
2600.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,1873.6126697559635,72.06202575984474,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
3000.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,1873.6126697559635,62.45375565853212,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
3500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,1873.6126697559635,53.531790564456095,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
4500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,1873.6126697559635,41.635837105688076,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
6500.0,0.31254457656646445,0.14554468179639182,0.08819437136810598,0.07880552340196662,1873.6126697559635,28.8248103039379,False,,116.0,50.0,0.0,66.0,43.0,39.0,34.0
