fps_value,travel_time_equity_index,avg_equity,overall_avg_travel_time,total_travel_time,total_trips,total_deviation,avg_deviation,low_avg_travel_time,low_deviation,low_trip_count,middle_avg_travel_time,middle_deviation,middle_trip_count,high_avg_travel_time,high_deviation,high_trip_count,total_subsidy_used,budget_used_pct,terminated_early,termination_reason
300.0,52.85185155497927,,26.59556786703601,9601.0,361.0,52.85185155497927,17.617283851659757,49.56028368794326,22.96471582090725,141.0,13.304,13.29156786703601,125.0,10.0,16.59556786703601,95.0,300.0,100.0,False,
600.0,47.322790595080825,,26.645429362880886,9619.0,361.0,47.322790595080825,15.774263531693608,46.189189189189186,19.5437598263083,148.0,15.2,11.445429362880887,120.0,10.311827956989248,16.33360140589164,93.0,600.0,100.0,False,
900.0,43.453887158954785,,26.85595567867036,9695.0,361.0,43.453887158954785,14.484629052984928,44.12418300653595,17.268227327865592,153.0,16.88888888888889,9.96706678978147,117.0,10.637362637362637,16.21859304130772,91.0,900.0,100.0,False,
1200.0,41.504884004884005,,26.37087912087912,9599.0,364.0,41.504884004884005,13.834961334961335,42.66025641025641,16.28937728937729,156.0,16.88888888888889,9.481990231990231,117.0,10.637362637362637,15.733516483516484,91.0,1200.0,100.0,False,
1500.0,41.20903417376771,,26.548209366391184,9637.0,363.0,41.20903417376771,13.736344724589237,42.66025641025641,16.112047043865225,156.0,17.362068965517242,9.186140400873942,116.0,10.637362637362637,15.910846729028547,91.0,1500.0,100.0,False,
1800.0,36.852085465854515,,25.05464480874317,9170.0,366.0,36.852085465854515,12.284028488618171,39.47133757961783,14.416692770874661,157.0,17.362068965517242,7.692575843225928,116.0,10.311827956989248,14.742816851753922,93.0,1800.0,100.0,False,
2000.0,31.72110481719693,,23.65573770491803,8658.0,366.0,31.72110481719693,10.57370160573231,35.936708860759495,12.280971155841463,158.0,17.63478260869565,6.02095509622238,115.0,10.236559139784946,13.419178565133086,93.0,2000.0,100.0,False,
2300.0,27.707606315395978,,22.505464480874316,8237.0,366.0,27.707606315395978,9.235868771798659,33.20886075949367,10.703396278619351,158.0,17.86842105263158,4.6370434282427375,114.0,10.138297872340425,12.367166608533891,94.0,2300.0,100.0,False,
2600.0,23.445445729938385,,21.463215258855588,7877.0,367.0,23.445445729938385,7.815148576646128,30.468354430379748,9.00513917152416,158.0,18.347826086956523,3.1153891718990643,115.0,10.138297872340425,11.324917386515162,94.0,2600.0,100.0,False,
3000.0,22.25032966744054,,21.103542234332426,7745.0,367.0,22.25032966744054,7.416776555813513,29.632911392405063,8.529369158072637,158.0,18.347826086956523,2.755716147375903,115.0,10.138297872340425,10.965244361992001,94.0,2668.7331635609326,88.95777211869775,False,
3500.0,22.25032966744054,,21.103542234332426,7745.0,367.0,22.25032966744054,7.416776555813513,29.632911392405063,8.529369158072637,158.0,18.347826086956523,2.755716147375903,115.0,10.138297872340425,10.965244361992001,94.0,2668.7331635609326,76.24951895888378,False,
4500.0,22.25032966744054,,21.103542234332426,7745.0,367.0,22.25032966744054,7.416776555813513,29.632911392405063,8.529369158072637,158.0,18.347826086956523,2.755716147375903,115.0,10.138297872340425,10.965244361992001,94.0,2668.7331635609326,59.30518141246517,False,
6500.0,22.25032966744054,,21.103542234332426,7745.0,367.0,22.25032966744054,7.416776555813513,29.632911392405063,8.529369158072637,158.0,18.347826086956523,2.755716147375903,115.0,10.138297872340425,10.965244361992001,94.0,2668.7331635609326,41.05743328555281,False,
