fps_value,avg_mae,mae_low,mae_middle,mae_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
500,0.6394413463939838,0.7776677109026828,0.8180129034064028,0.32264342487286546,29.7%,59.5%,43.1%,49.1%,52.8%,15.2%,38.3%,28.0%,51.8%,23.2%,15.9%,8.8%
1000,0.6525852509658759,0.89483917028285,0.7002189060060856,0.3626976766086924,29.6%,50.0%,22.3%,26.5%,40.3%,6.8%,43.8%,32.1%,14.6%,18.3%,23.7%,30.3%
1500,0.6694216426872703,0.9182487957231745,0.7578893448438232,0.3321267874948134,29.6%,50.0%,22.3%,26.5%,40.3%,6.8%,43.8%,32.1%,14.6%,18.3%,23.7%,30.3%
2000,0.6584334979162866,0.8061222922762634,0.774162059480606,0.3950161419919902,29.7%,59.5%,43.1%,49.1%,52.8%,15.2%,38.3%,28.0%,51.8%,23.2%,15.9%,8.8%
3000,0.6991645045736612,0.8895147862194981,0.8819239304430536,0.32605479705843177,9.6%,40.5%,22.9%,42.0%,44.6%,6.5%,30.4%,8.5%,40.5%,59.0%,19.8%,10.0%
4000,0.7084437989629202,0.9321461439403267,0.8618492223877223,0.3313360305607117,29.6%,50.0%,22.3%,26.5%,40.3%,6.8%,43.8%,32.1%,14.6%,18.3%,23.7%,30.3%
5000,0.6796049450146345,0.8687852529691941,0.7919304589981364,0.378099123076573,19.5%,32.0%,15.4%,10.7%,49.5%,12.2%,14.5%,32.7%,39.2%,12.1%,41.0%,20.0%
10000,0.6668028417141025,0.9275980308005033,0.7344950904062375,0.33831540393556686,11.7%,53.4%,24.4%,48.8%,15.2%,34.2%,55.9%,54.7%,47.2%,58.0%,51.9%,31.5%
15000,0.7095745646001711,0.983246848807051,0.8184234106055115,0.32705343438795087,29.6%,50.0%,22.3%,26.5%,40.3%,6.8%,43.8%,32.1%,14.6%,18.3%,23.7%,30.3%
25000,0.7290485846567476,0.9832506607720094,0.9160560946490155,0.2878389985492178,42.9%,59.2%,11.2%,22.6%,41.4%,16.7%,39.1%,24.7%,25.1%,40.0%,58.2%,23.2%
50000,0.716184534556081,0.9043378273826888,0.8196318099456541,0.4245839663399003,29.6%,50.0%,22.3%,26.5%,40.3%,6.8%,43.8%,32.1%,14.6%,18.3%,23.7%,30.3%
100000,0.7204166936909385,0.9305010945293652,0.78316376557191,0.44758522097154047,29.6%,50.0%,22.3%,26.5%,40.3%,6.8%,43.8%,32.1%,14.6%,18.3%,23.7%,30.3%
