fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.5767865120615929,0.2871962030538082,0.13187196358717396,0.1577183454206108,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
4500.0,0.5670029776021578,0.2595861844803117,0.04999247253103736,0.2574243205908088,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%
5500.0,0.2691919191919193,0.12070707070707071,0.049494949494949564,0.09898989898989902,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%
6500.0,0.4927543217016902,0.16811258916522076,0.19200244200244204,0.13263929053402734,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
7000.0,0.4589908403708514,0.20835966587141777,0.09395300712002057,0.15667816737941312,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
7500.0,0.44747603751435167,0.20760929860546729,0.16297392829959878,0.07689281060928563,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
8000.0,0.46634250074558165,0.22907379313027576,0.10854631034348625,0.12872239727181958,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8500.0,0.324407092398201,0.15329013550741805,0.07978166133209201,0.09133529555869091,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9000.0,0.4501876724098945,0.21304210193099077,0.08741464297019844,0.1497309275087053,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9500.0,0.3849863594636877,0.19249317973184382,0.0943459653750178,0.09814721435682605,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
10000.0,0.47340071415602497,0.19743522497259713,0.10532792672839877,0.170637562455029,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
15000.0,0.5219883110034551,0.23585252871375084,0.12660701821181558,0.15952876407788866,45.3%,76.1%,49.7%,6.6%,57.3%,59.7%,32.9%,10.3%,22.5%,6.9%,60.4%,42.3%
