parameter,parameter_label,parameter_value,run,seed,travel_time_equity_index
CONGESTION_BETA,2.0,2.0,0,280,18.533174951267053
CONGESTION_BETA,2.0,2.0,1,1280,23.85320037105751
CONGESTION_BETA,2.0,2.0,2,2280,35.621696775792884
CONGESTION_BETA,3.0,3.0,0,821,23.298590027858324
CONGESTION_BETA,3.0,3.0,1,1821,24.67293838460887
CONGESTION_BETA,3.0,3.0,2,2821,34.6673273082818
CONGESTION_BETA,4.0,4.0,0,620,24.188357524828113
CONGESTION_BETA,4.0,4.0,1,1620,26.846633475580845
CONGESTION_BETA,4.0,4.0,2,2620,26.598912899603334
CONGESTION_BETA,5.0,5.0,0,451,25.744899556527074
CONGESTION_BETA,5.0,5.0,1,1451,28.21928426121974
CONGESTION_BETA,5.0,5.0,2,2451,18.196749824730006
CONGESTION_BETA,6.0,6.0,0,883,31.17148856348596
CONGESTION_BETA,6.0,6.0,1,1883,19.209717917193373
CONGESTION_BETA,6.0,6.0,2,2883,35.72450977564564
