fps_value,total_system_travel_time,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
1000.0,5177.0,100.0,1000.0,556.9578850772784,55.69578850772784,55.69578850772784,402.54828529700217,40.25482852970021,40.25482852970021,40.493829625719684,4.049382962571968,4.049382962571968
1500.0,4283.0,100.0,1500.0,767.5101462799549,51.16734308533033,51.16734308533033,720.2111434688551,48.01407623125701,48.01407623125701,12.278710251192019,0.8185806834128012,0.8185806834128012
2000.0,3844.0,97.79299792569248,1955.8599585138497,1530.4734079332436,78.25066417823524,76.52367039666218,359.61941362774667,18.386767010711832,17.980970681387333,65.7671369528593,3.3625688110529204,3.2883568476429654
2500.0,3774.0,95.26337375768014,2381.5843439420037,1545.9644072946514,64.91327553555243,61.83857629178606,667.0175663924264,28.007303965072992,26.680702655697054,168.6023702549275,7.079420499374652,6.7440948101971
3000.0,3911.0,73.83579224491615,2215.0737673474846,1365.286445873595,61.63616155810936,45.5095481957865,794.9589437524221,35.888599082836535,26.498631458414067,54.8283777214674,2.4752393590541004,1.8276125907155798
3500.0,3450.0,51.767202951907954,1811.8521033167785,1137.6468227174455,62.789165883620846,32.50419493478416,519.5816836540802,28.676826475126383,14.845190961545148,154.62359694525355,8.534007641252806,4.4178170555786735
4000.0,3822.0,51.70441962739489,2068.176785095796,1137.9380782109417,55.02131570238246,28.448451955273548,823.2352649534512,39.80487891006473,20.58088162383628,107.00344193140316,5.173805387552828,2.675086048285079
4500.0,3741.0,55.51815626434631,2498.317031895584,1453.936730011646,58.196646440363075,32.309705111369915,908.9810789855404,36.38373622645707,20.19957953301201,135.3992228983976,5.419617333179857,3.008871619964391
5000.0,3517.0,39.40038786095303,1970.0193930476514,1113.0456023985266,56.49922058262723,22.260912047970532,761.977601438144,38.67868530265341,15.239552028762878,94.9961892109798,4.822094114719306,1.8999237842195957
6000.0,3714.0,35.86194027670683,2151.71641660241,1561.6487236303046,72.57688381149082,26.027478727171744,454.3162965332537,21.11413441974967,7.571938275554229,135.75139643885126,6.3089817687595,2.2625232739808543
7000.0,3640.0,34.780619449370626,2434.6433614559437,1709.1776919088638,70.20238442178885,24.416824170126628,569.5959128375329,23.395455854236825,8.137084469107613,155.86975670954774,6.402159723974353,2.2267108101363964
8000.0,3780.0,28.64767568509121,2291.814054807297,1310.101429154716,57.164385845642855,16.37626786443395,807.2738383436122,35.22422932394008,10.090922979295152,174.43878730896813,7.611384830417034,2.1804848413621016
